id;date;kiloWattHours;pricePerCharge;provider;createdAt;updatedAt;userId;deletedAt
80;2022-12-03;6.70;2.20;virta;2022-12-04 08:21:48.635;2022-12-04 08:21:56.443;1;
73;2022-11-22;3.60;0.90;k-lataus;2022-11-23 06:21:54.768;2022-11-23 11:08:05.958;1;
74;2022-11-23;10.00;0.00;office;2022-11-23 11:08:15.425;2022-11-23 11:08:15.425;1;
6;2022-08-14;2.10;0.43;k-lataus;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
7;2022-08-14;20.79;4.16;abc;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
8;2022-08-14;2.80;0.77;abc;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
9;2022-08-14;1.10;0.21;k-lataus;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
10;2022-08-14;5.10;1.02;k-lataus;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
17;2022-09-01;5.00;0.00;office;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
18;2022-09-02;6.11;1.65;abc;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
19;2022-09-03;12.10;3.17;abc;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
20;2022-09-04;11.04;3.06;abc;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
21;2022-09-05;9.13;0.00;office;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
24;2022-09-09;5.00;0.00;office;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
25;2022-09-11;8.80;0.00;lidl;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
26;2022-09-12;7.80;0.00;office;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
27;2022-09-15;10.00;0.00;office;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
28;2022-09-17;10.90;2.95;abc;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
29;2022-09-18;3.50;0.00;office;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
32;2022-09-23;10.00;0.00;lidl;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
33;2022-09-26;14.00;0.00;lidl;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
34;2022-09-29;14.00;0.00;office;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
35;2022-10-01;5.20;0.00;lidl;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
38;2022-10-08;1.00;0.00;office;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
39;2022-10-10;4.00;0.00;office;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
40;2022-10-11;5.10;1.28;k-lataus;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
41;2022-10-16;3.58;0.63;plugit;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
42;2022-10-16;4.50;1.25;k-lataus;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
43;2022-10-17;5.00;1.51;abc;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
44;2022-10-18;14.50;0.00;office;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
45;2022-10-19;11.00;0.00;office;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
46;2022-10-22;3.30;0.00;ikea;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
47;2022-10-22;2.00;0.00;virta;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
48;2022-10-24;11.20;0.00;office;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
49;2022-10-25;1.00;0.00;ikea;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
50;2022-10-25;9.20;0.00;office;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
53;2022-10-30;5.20;1.54;abc;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
54;2022-10-31;7.66;2.30;abc;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
55;2022-10-31;6.00;0.00;lidl;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
56;2022-11-01;5.30;0.00;office;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
57;2022-11-03;5.80;0.00;lidl;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
58;2022-11-04;2.70;0.67;k-lataus;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
59;2022-11-05;1.31;0.38;virta;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
60;2022-11-05;9.10;2.39;k-lataus;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
61;2022-11-05;22.30;0.00;other;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
62;2022-11-06;10.20;2.68;k-lataus;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
69;2022-11-18;4.00;0.00;office;2022-11-22 20:58:12.124;2022-11-22 20:58:12.124;1;
75;2022-11-24;8.00;0.00;office;2022-11-25 07:20:40.516;2022-11-25 07:20:40.516;1;
70;2022-11-19;2.60;0.87;abc;2022-11-22 20:58:12.124;2022-11-22 21:00:12.332;1;
76;2022-11-25;8.60;0.00;office;2022-11-25 22:28:51.516;2022-11-25 22:28:51.516;1;
71;2022-11-21;12.00;0.00;office;2022-11-22 20:58:12.124;2022-11-22 21:00:21.196;1;
72;2022-11-22;4.70;1.30;k-lataus;2022-11-23 06:20:35.037;2022-11-23 06:20:35.037;1;
79;2022-12-02;10.20;0.00;office;2022-12-02 12:26:03.177;2022-12-02 12:26:03.177;1;
81;2022-12-04;7.10;2.40;virta;2022-12-04 09:44:32.122;2022-12-04 09:44:32.122;1;
82;2022-12-05;12.00;0.00;office;2022-12-05 12:05:03.183;2022-12-05 12:05:03.183;1;
83;2022-12-04;3.10;1.00;virta;2022-12-06 08:15:18.456;2022-12-06 08:15:18.456;1;
84;2022-12-06;1.00;0.00;office;2022-12-06 08:59:38.136;2022-12-06 08:59:44.653;1;2022-12-06 08:59:44.653
85;2022-12-06;5.30;1.40;abc;2022-12-06 12:37:22.745;2022-12-06 12:37:22.745;1;
86;2022-12-06;9.00;1.90;lidl;2022-12-06 14:58:23.905;2022-12-06 14:58:23.905;1;
87;2022-12-07;11.30;2.40;lidl;2022-12-07 18:30:17.06;2022-12-07 18:30:17.06;1;
88;2022-12-07;6.70;2.10;k-lataus;2022-12-07 18:31:54.969;2022-12-07 18:31:54.969;1;
89;2022-12-08;7.80;1.70;lidl;2022-12-08 07:50:41.001;2022-12-08 07:50:41.001;1;
90;2022-12-09;10.00;0.00;office;2022-12-09 13:10:36.529;2022-12-09 13:10:36.529;1;
91;2022-12-11;10.80;2.30;lidl;2022-12-11 17:32:45.034;2022-12-11 17:32:45.034;1;
93;2022-12-12;12.90;2.70;k-lataus;2022-12-13 10:11:31.896;2022-12-13 10:11:58.001;1;
92;2022-12-12;12.90;3.00;k-lataus;2022-12-13 10:11:30.979;2022-12-13 10:11:35.904;1;2022-12-13 10:11:35.904
94;2022-12-12;7.50;1.60;k-lataus;2022-12-13 10:12:15.432;2022-12-13 10:12:24.185;1;
95;2022-12-16;8.80;2.40;abc;2022-12-17 21:09:57.181;2022-12-17 21:09:57.181;1;
96;2022-12-16;20.70;0.00;other;2022-12-18 16:42:20.304;2022-12-18 16:42:20.304;1;
97;2022-12-18;7.70;2.50;k-lataus;2022-12-18 16:43:14.252;2022-12-18 16:43:14.252;1;
98;2022-12-18;7.80;2.10;abc;2022-12-18 16:50:06.444;2022-12-18 16:50:06.444;1;
99;2022-12-18;17.50;0.00;office;2022-12-18 19:42:48.928;2022-12-18 19:42:48.928;1;
